Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Disease_Type
15,33,35,35,11,38,32,26,21,22,21,18,11,Acute
15,24,27,18,19,38,32,26,21,22,21,18,11,Acute
15,33,27,18,19,38,32,26,21,22,21,18,11,Acute
15,33,35,18,19,38,32,26,21,22,21,18,11,Acute
15,33,35,35,19,38,32,26,21,22,21,18,11,Acute
4,8,33,11,45,38,32,26,21,22,21,18,11,Acute
4,23,9,50,19,38,32,26,21,22,21,18,11,Acute
4,8,9,50,19,38,32,26,21,22,21,18,11,Acute
4,8,33,50,19,38,32,26,21,22,21,18,11,Acute
4,8,33,11,19,38,32,26,21,22,21,18,11,Acute
16,26,1,48,44,4,3,26,21,22,21,18,11,Acute
16,26,41,49,8,3,32,26,21,22,21,18,11,Acute
16,26,1,49,8,3,32,26,21,22,21,18,11,Acute
16,26,1,48,8,3,32,26,21,22,21,18,11,Acute
16,26,1,48,44,3,32,26,21,22,21,18,11,Acute
16,26,1,48,44,4,32,26,21,22,21,18,11,Acute
16,0,41,49,8,3,32,26,21,22,21,18,11,Acute
9,33,42,53,29,21,0,25,21,22,21,18,11,Acute
9,28,47,33,25,0,30,26,21,22,21,18,11,Acute
9,33,47,33,25,0,30,26,21,22,21,18,11,Acute
9,33,42,33,25,0,30,26,21,22,21,18,11,Acute
9,33,42,53,25,0,30,26,21,22,21,18,11,Acute
9,33,42,53,29,0,30,26,21,22,21,18,11,Acute
9,33,42,53,29,21,30,26,21,22,21,18,11,Acute
9,33,42,53,29,21,0,26,21,22,21,18,11,Acute
14,33,35,44,5,28,32,26,21,22,21,18,11,Acute
14,33,37,9,39,38,32,26,21,22,21,18,11,Acute
14,33,35,9,39,38,32,26,21,22,21,18,11,Acute
14,33,35,44,39,38,32,26,21,22,21,18,11,Acute
14,33,35,44,5,38,32,26,21,22,21,18,11,Acute
14,24,37,9,39,38,32,26,21,22,21,18,11,Acute
33,28,23,0,32,16,32,26,21,22,21,18,11,Acute
33,28,19,0,32,16,32,26,21,22,21,18,11,Acute
33,14,23,0,32,16,32,26,21,22,21,18,11,Acute
33,28,19,29,32,16,32,26,21,22,21,18,11,Acute
33,28,19,29,0,16,32,26,21,22,21,18,11,Acute
33,28,19,29,0,26,32,26,21,22,21,18,11,Acute
33,28,19,29,0,26,16,26,21,22,21,18,11,Acute
1,17,30,24,15,38,32,26,21,22,21,18,11,Acute
1,21,18,20,19,38,32,26,21,22,21,18,11,Acute
