Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
14,stop irritation,consult nearest hospital,stop taking drug,follow up
29,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
4,apply calamine,cover area with bandage,,use ice to compress itching
26,reduce stress,exercise,eat healthy,get proper sleep
35,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
16,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
9,cold baths,anti itch medicine,consult doctor,eat healthy
40,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
31,acetaminophen,consult nearest hospital,follow up,salt baths
0,lie down,avoid sudden change in body,avoid abrupt head movment,relax
25,lie down on side,check in pulse,drink sugary drinks,consult doctor
2,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
12,have balanced diet,exercise,consult doctor,follow up
27,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
23,meditation,salt baths,reduce stress,get proper sleep
33,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
13,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
10,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
8,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
7,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
24,eat healthy,massage,use lemon balm,take radioactive iodine treatment
38,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
39,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1,avoid open cuts,wear ppe if possible,consult doctor,follow up
32,massage,eat healthy,exercise,consult doctor
37,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
19,consult nearest hospital,vaccination,eat healthy,medication
15,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
20,Consult nearest hospital,vaccination,eat healthy,medication
30,meditation,reduce stress,use poloroid glasses in sun,consult doctor
6,switch to loose cloothing,take deep breaths,get away from trigger,seek help
3,stop alcohol consumption,consult doctor,medication,follow up
28,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
22,stop alcohol consumption,rest,consult doctor,medication
11,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
21,consult doctor,medication,eat healthy,follow up
18,call ambulance,chew or swallow asprin,keep calm,
34,consult doctor,medication,rest,follow up
5,exercise,use hot and cold therapy,try acupuncture,massage
17,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
36,cover mouth,consult doctor,medication,rest
